name,unit,description,category,low_stock_threshold,is_active,brand,vendor,material_type
Mustard Oil,liter,Cooking mustard oil,Edible Oils & Fats,38.000,TRUE,Fortune,Hyperpure,raw_material
Mustard Seed,kg,Yellow mustard seeds,Herbs & Spices,27.000,TRUE,East Made,Hyperpure,raw_material
Nutmeg,kg,Whole nutmeg spice,Herbs & Spices,6.000,TRUE,East Made,Hyperpure,raw_material
Red Chilli Powder (Tikhalal),kg,Spicy red chilli powder,Herbs & Spices,29.000,TRUE,Everest,Hyperpure,raw_material
Roasted Chana,kg,Roasted chickpeas,Food Grains & Grain Products,33.000,TRUE,ZKP,Hyperpure,raw_material
Saunf,kg,Fennel seeds,Herbs & Spices,31.000,TRUE,East Made,Hyperpure,raw_material
Soxin Wine,btl,Cooking wine,Condiments & Toppings,15.000,TRUE,No Brand,Punjab Store,raw_material
Soya Chaap Trinity,kg,Soya chaap chunks,Fruits & Vegetables,18.000,TRUE,Maharaja,SB Interprice,raw_material
Star Anise,kg,Star anise spice,Herbs & Spices,10.000,TRUE,Minar,Hyperpure,raw_material
Stone Flower,kg,Dried lichen spice,Herbs & Spices,8.000,TRUE,East Made,Hyperpure,raw_material
Sugar,kg,White granulated sugar,Baking Essentials,50.000,TRUE,ZKP,Hyperpure,raw_material
Sunpure Refined Oil,kg,Refined cooking oil,Edible Oils & Fats,42.000,TRUE,Sunpure,Hyperpure,raw_material
Tamarind,kg,Tamarind pulp,Sauces & Seasoning,25.000,TRUE,Eastern,Hyperpure,raw_material
Tata Salt,kg,Iodized table salt,Sauces & Seasoning,60.000,TRUE,Tata,Hyperpure,raw_material
Tomato Ketchup,kg,Tomato sauce,Condiments & Toppings,36.000,TRUE,Kissan,Hyperpure,raw_material
Turmeric Powder (MDH),kg,Ground turmeric powder,Herbs & Spices,34.000,TRUE,MDH,Hyperpure,raw_material
Vinegar Synthetic,btl,Synthetic vinegar,Condiments & Toppings,20.000,TRUE,Golden Corn,Hyperpure,raw_material
VKL Peri Peri Marinade,kg,Peri peri marinade,Sauces & Seasoning,12.000,TRUE,VKL,Hyperpure,raw_material
White Pepper Powder,kg,White pepper spice,Herbs & Spices,14.000,TRUE,East Made,Hyperpure,raw_material
Whole Coriander Seed,kg,Whole coriander seeds,Herbs & Spices,28.000,TRUE,East Made,Hyperpure,raw_material
Whole Jeera,kg,Whole cumin seeds,Herbs & Spices,30.000,TRUE,East Made,Hyperpure,raw_material
MDH Chaat Masala,liter,Chaat masala blend,Herbs & Spices,16.000,TRUE,MDH,Hyperpure,raw_material
Ghee,liter,Clarified butter,Dairy & Dairy Product,22.000,TRUE,Nandini,Hyperpure,raw_material
Shahi Jeera,kg,Premium cumin seeds,Herbs & Spices,11.000,TRUE,East Made,Hyperpure,raw_material
Burger Patty,kg,Frozen burger patties,Meat & Poultry & Cold Cuts,15.000,TRUE,Roi Poultry,Rai Poultry,raw_material
Rumali Roti,nos,Thin flatbread,Baking Essentials,100.000,TRUE,Local,Local,raw_material
Gongura Pickle,kg,Gongura pickle,Condiments & Toppings,18.000,TRUE,Priya,Priya Foods,raw_material
Amul Cheese Slice,nos,Cheese slices,Dairy & Dairy Product,50.000,TRUE,Amul,Hyperpure,raw_material
Burger Bun,kg,Burger buns,Baking Essentials,45.000,TRUE,English Oven,English Oven,raw_material
Bamboo Skewer,kg,Wooden skewers,Inedible & Packaging,24.000,TRUE,Local,,raw_material
Poolish,gm,Pre-fermented dough used for pizza and bread fermentation,SemiFinished,8.000,TRUE,Boom Pizza,NULL,semi_finished
Pizza Dough Std,gm,Standard pizza dough prepared for daily service,SemiFinished,20.000,TRUE,Boom Pizza,NULL,semi_finished
Marinara - Boom,gm,Classic tomato-based marinara sauce,SemiFinished,15.000,TRUE,Boom Pizza,NULL,semi_finished
Basil Pesto - Boom,gm,Fresh basil pesto sauce with herbs and oil,SemiFinished,10.000,TRUE,Boom Pizza,NULL,semi_finished
Bechamel Sauce,gm,White sauce made from milk butter and flour,SemiFinished,12.000,TRUE,Boom Pizza,NULL,semi_finished
Tandoori Chicken,gm,Chicken marinated with tandoori spices and cooked,SemiFinished,10.000,TRUE,Boom Pizza,NULL,semi_finished
Chicken Basic Marination,gm,Basic spiced chicken marinade for multiple dishes,SemiFinished,14.000,TRUE,Boom Pizza,NULL,semi_finished
Cilantro Pesto - Boom,gm,Fresh coriander based pesto sauce,SemiFinished,9.000,TRUE,Boom Pizza,NULL,semi_finished
Dough,gm,Fresh dough prepared for daily kitchen use,SemiFinished,25.000,TRUE,Boom Pizza,NULL,semi_finished
Ghee Roast Masala,gm,Spice blend used for ghee roast preparations,SemiFinished,6.000,TRUE,Boom Pizza,NULL,semi_finished
Mushroom Pate - Boom,gm,Creamy mushroom pate spread,SemiFinished,7.000,TRUE,Boom Pizza,NULL,semi_finished
Ginger Garlic Paste,gm,Fresh paste of ginger and garlic,SemiFinished,18.000,TRUE,Boom Pizza,NULL,semi_finished
Tandoori Marinated,gm,Raw chicken marinated with tandoori spices,SemiFinished,12.000,TRUE,Boom Pizza,NULL,semi_finished
Makhani Gravy,gm,Rich buttery tomato based gravy,SemiFinished,14.000,TRUE,Boom Pizza,NULL,semi_finished
Smoked Chilli Oil,gm,Oil infused with smoked chillies,SemiFinished,6.000,TRUE,Boom Pizza,NULL,semi_finished
Gongura Aioli,gm,Creamy aioli flavoured with gongura,SemiFinished,5.000,TRUE,Boom Pizza,NULL,semi_finished
Thyme and Pepper Dip,gm,Herb infused pepper dip,SemiFinished,6.000,TRUE,Boom Pizza,NULL,semi_finished
Garlic Butter,gm,Butter blended with garlic and herbs,SemiFinished,16.000,TRUE,Boom Pizza,NULL,semi_finished
Lemon Juice,gm,Fresh extracted lemon juice,SemiFinished,20.000,TRUE,Boom Pizza,NULL,semi_finished
Chicken Basic Marination (Raw),gm,Raw chicken marinated with basic spices,SemiFinished,10.000,TRUE,Boom Pizza,NULL,semi_finished
Basic Marinated Paneer,gm,Paneer marinated with mild spices,SemiFinished,9.000,TRUE,Boom Pizza,NULL,semi_finished
Processed Sun Dried Tomato,gm,Sun dried tomatoes processed for sauces,SemiFinished,7.000,TRUE,Boom Pizza,NULL,semi_finished
Pizza Flour Mix,gm,Flour blend optimized for pizza dough,SemiFinished,30.000,TRUE,Boom Pizza,NULL,semi_finished
Peri Peri Soya Chaap,nos,Soya chaap marinated with peri peri spices and grilled,Finished,10.000,TRUE,El Chaapo,NULL,finished
Achari Soya Chaap,nos,Soya chaap marinated with traditional achari spices,Finished,10.000,TRUE,El Chaapo,NULL,finished
Lahsuni Soya Chaap,nos,Soya chaap flavoured with garlic based marinade,Finished,10.000,TRUE,El Chaapo,NULL,finished
Afghani Soya Chaap,nos,Creamy Afghani style marinated soya chaap,Finished,9.000,TRUE,El Chaapo,NULL,finished
Tandoori Grilled Veggies,nos,Mixed vegetables marinated and grilled in tandoori spices,Finished,12.000,TRUE,El Chaapo,NULL,finished
Thecha Paneer Tikka,nos,Paneer tikka tossed in spicy green chilli thecha,Finished,9.000,TRUE,El Chaapo,NULL,finished
Tandoori Mushrooms,nos,Mushrooms marinated in tandoori spices and grilled,Finished,8.000,TRUE,El Chaapo,NULL,finished
Andhra Kabab,nos,Spicy Andhra style kabab preparation,Finished,8.000,TRUE,Nippu Kodi,NULL,finished
Malai Kabab,nos,Creamy mild flavoured kabab,Finished,8.000,TRUE,Nippu Kodi,NULL,finished
Peri Peri Kabab,nos,Kabab marinated with peri peri seasoning,Finished,8.000,TRUE,Nippu Kodi,NULL,finished
Hariyali Kabab,nos,Green herb and mint flavoured kabab,Finished,8.000,TRUE,Nippu Kodi,NULL,finished
Lemon Kabab,nos,Light lemon flavoured kabab,Finished,8.000,TRUE,Nippu Kodi,NULL,finished
Gongura Kabab,nos,Kabab flavoured with tangy gongura leaves,Finished,8.000,TRUE,Nippu Kodi,NULL,finished
