name,unit,description,category,low_stock_threshold,is_active,brand,vendor,material_type,brand_codes
Whole Jeera,kg,Whole cumin seeds,Herbs & Spices,2,TRUE,East Made,Hyperpure,raw_material,all
MDH Chaat Masala,kg,Chaat masala blend,Herbs & Spices,2,TRUE,MDH,Hyperpure,raw_material,all
Ghee,kg,Clarified butter,Dairy & Dairy Product,2,TRUE,Nandini,Hyperpure,raw_material,all
Shahi Jeera,kg,Premium cumin seeds,Herbs & Spices,1,TRUE,East Made,Hyperpure,raw_material,all
Burger Patty,kg,Frozen burger patties,Meat & Poultry & Cold Cuts,15,TRUE,Rai Poultry,Rai Poultry,raw_material,"[""nk""]"
Rumali Roti,nos,Thin flatbread,Baking Essentials,600,TRUE,Local,Local,raw_material,"[""nk"",""ec""]"
Gongura Pickle,kg,Gongura pickle,Condiments & Toppings,5,TRUE,Priya,Priya Foods,raw_material,all
Amul Cheese Slice,nos,Cheese slices,Dairy & Dairy Product,50,TRUE,Amul,Hyperpure,raw_material,all
Burger Bun,kg,Burger buns,Baking Essentials,50,TRUE,English Oven,English Oven,raw_material,all
Bamboo Skewer,kg,Wooden skewers,Inedible & Packaging,100,TRUE,Local,Local,raw_material,"[""nk""]"
Poolish,gm,Pre-fermented dough used for pizza and bread fermentation,SemiFinished,8,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Pizza Dough Std,nos,Standard pizza dough prepared for daily service,SemiFinished,200,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Marinara Sauce,gm,Classic tomato-based marinara sauce,SemiFinished,50,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Basil Pesto,gm,Fresh basil pesto sauce with herbs and oil,SemiFinished,5,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Bechamel Sauce,gm,White sauce made from milk butter and flour,SemiFinished,2,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Tandoori Chicken,gm,Chicken marinated with tandoori spices and cooked,SemiFinished,4,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Chicken Basic Marination,gm,Basic spiced chicken marinade for multiple dishes,SemiFinished,3,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Cilantro Pesto,gm,Fresh coriander based pesto sauce,SemiFinished,2,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Ghee Roast Masala,gm,Spice blend used for ghee roast preparations,SemiFinished,2,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Mushroom Pate,gm,Creamy mushroom pate spread,SemiFinished,2,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Ginger Garlic Paste,gm,Fresh paste of ginger and garlic,SemiFinished,2,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Tandoori Marinated,gm,Raw chicken marinated with tandoori spices,SemiFinished,5,TRUE,Boom Pizza,NULL,semi_finished,all
Makhani Gravy,gm,Rich buttery tomato based gravy,SemiFinished,5,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Smoked Chilli Oil,nos,Oil infused with smoked chillies,SemiFinished,6,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Gongura Aioli,gm,Creamy aioli flavoured with gongura,SemiFinished,2,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Thyme and Pepper Dip,nos,Herb infused pepper dip,SemiFinished,6,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Garlic Butter,gm,Butter blended with garlic and herbs,SemiFinished,5,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Basic Marinated Paneer,gm,Paneer marinated with mild spices,SemiFinished,5,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Sun Dried Tomato,btl,Sun dried tomatoes processed for sauces,SemiFinished,50,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Pizza Flour Mix,kg,Flour blend optimized for pizza dough,SemiFinished,30,TRUE,Boom Pizza,NULL,semi_finished,"[""bp""]"
Peri Peri Soya Chaap,nos,Soya chaap marinated with peri peri spices and grilled,Finished,20,TRUE,El Chaapo,NULL,finished,"[""ec""]"
Achari Soya Chaap,nos,Soya chaap marinated with traditional achari spices,Finished,20,TRUE,El Chaapo,NULL,finished,"[""ec""]"
Lahsuni Soya Chaap,nos,Soya chaap flavoured with garlic based marinade,Finished,20,TRUE,El Chaapo,NULL,finished,"[""ec""]"
Afghani Soya Chaap,nos,Creamy Afghani style marinated soya chaap,Finished,20,TRUE,El Chaapo,NULL,finished,"[""ec""]"
Tandoori Grilled Veggies,nos,Mixed vegetables marinated and grilled in tandoori spices,Finished,20,TRUE,El Chaapo,NULL,finished,"[""ec""]"
Thecha Paneer Tikka,nos,Paneer tikka tossed in spicy green chilli thecha,Finished,20,TRUE,El Chaapo,NULL,finished,"[""ec""]"
Tandoori Mushrooms,nos,Mushrooms marinated in tandoori spices and grilled,Finished,20,TRUE,El Chaapo,NULL,finished,"[""ec""]"
Andhra Kabab,nos,Spicy Andhra style kabab preparation,Finished,20,TRUE,Nippu Kodi,NULL,finished,"[""nk""]"
Malai Kabab,nos,Creamy mild flavoured kabab,Finished,20,TRUE,Nippu Kodi,NULL,finished,"[""nk""]"
Peri Peri Kabab,nos,Kabab marinated with peri peri seasoning,Finished,20,TRUE,Nippu Kodi,NULL,finished,"[""nk""]"
Hariyali Kabab,nos,Green herb and mint flavoured kabab,Finished,20,TRUE,Nippu Kodi,NULL,finished,"[""nk""]"
Lemon Kabab,nos,Light lemon flavoured kabab,Finished,20,TRUE,Nippu Kodi,NULL,finished,"[""nk""]"
Gongura Kabab,nos,Kabab flavoured with tangy gongura leaves,Finished,20,TRUE,Nippu Kodi,NULL,finished,"[""nk""]"
